domainname,nr_asn
danuserwebservice.ch,5447.0
andeo-hosting.ch,5445.0
gateio.ch,5435.0
bluemail.ch,5426.0
hostbliss.ch,5418.0
lausanne.ch,5411.0
gbucket.ch,5410.0
lexo.ch,5408.0
alixon.ch,5403.0
mp-link.ch,5393.0
scibile.ch,5385.0
dnsserver.ch,5381.0
radio24.ch,5381.0
steffeninf.ch,5373.0
cash.ch,5367.0
autopartsbr.ch,5365.0
he-arc.ch,5356.0
nte.ch,5356.0
prezenz.ch,5354.0
cryptonomist.ch,5344.0
cfu.ch,5333.0
wetteronline.ch,5323.0
hosttown.ch,5322.0
wambo.ch,5313.0
openboard.ch,5309.0
in4u.ch,5306.0
netjump.ch,5301.0
johngehrig.ch,5300.0
datenpark.ch,5297.0
web-d-vision.ch,5296.0
tio.ch,5296.0
suva.ch,5293.0
nlpte.ch,5286.0
balgrist.ch,5258.0
bns-plus.ch,5247.0
swisslog.ch,5246.0
emilfrey.ch,5233.0
tineonet.ch,5226.0
cede.ch,5223.0
cldns.ch,5221.0
psinet.ch,5215.0
paranet.ch,5215.0
medisupport.ch,5214.0
aet.ch,5213.0
datimo.ch,5205.0
world-connect.ch,5203.0
freesurf.ch,5194.0
bluemouse.ch,5175.0
itship.ch,5173.0
ztonline.ch,5170.0
insystem.ch,5169.0
liverea.ch,5166.0
toppreise.ch,5158.0
ascloud.ch,5158.0
oris.ch,5154.0
internet-box.ch,5146.0
finanzen.ch,5145.0
nscloud.ch,5140.0
smte.ch,5136.0
rero.ch,5128.0
computech.ch,5127.0
bambus.ch,5124.0
rzeins.ch,5118.0
creants.ch,5114.0
bestview.ch,5112.0
alphanet.ch,5110.0
schurter.ch,5097.0
lidl.ch,5093.0
yendis.ch,5091.0
halma-dns.ch,5090.0
usb.ch,5089.0
unog.ch,5088.0
immomigsa.ch,5085.0
axianet.ch,5085.0
vivanet.ch,5077.0
supsi.ch,5070.0
portalfinalfantasy.ch,5069.0
24heures.ch,5066.0
clinch.ch,5065.0
ebcomdns.ch,5060.0
reporton.ch,5059.0
in4out.ch,5056.0
azmedien.ch,5051.0
siw.ch,5037.0
zubler.ch,5034.0
chur.ch,5034.0
answergarden.ch,5020.0
wegelin.ch,5020.0
invoca.ch,5010.0
interxs.ch,5009.0
ssatr.ch,5009.0
swisscancer.ch,5007.0
thomasmaurer.ch,5007.0
ipsystems.ch,5005.0
schluesselinfo.ch,5003.0
computech-rz.ch,5002.0
elby.ch,4994.0
litepay.ch,4989.0
bcv.ch,4988.0
swisspass.ch,4978.0
empa.ch,4977.0
hpbsc.ch,4971.0
virtua.ch,4969.0
axa.ch,4959.0
aprendaingles.ch,4956.0
mironet.ch,4955.0
gna.ch,4954.0
dns-net.ch,4952.0
yggtorrent.ch,4951.0
stnet.ch,4946.0
hevs.ch,4936.0
interdiscount.ch,4930.0
msf.ch,4930.0
graduateinstitute.ch,4929.0
zugernet.ch,4924.0
smarthosting.ch,4924.0
orior.ch,4923.0
luzernerzeitung.ch,4920.0
handelszeitung.ch,4920.0
topway.ch,4914.0
